Tubelabel_species,Species,Year,Health_status,Starting_Weight,Date_Extracted,Raw_ng_ul,Date_Enriched,Microbe_ng_ul,Microbe_Location,Microbe_clean_date/n,Host_ng_ul,Host_Location,Host_clean_y/n,Date_Libprep,Status ,Notes ,Seq_date,Host_Seq_date,Status_notes,Ready_resequence,ToDo_Resequence,Notes_x,Sample_physical_location_y,Extraction_physical_location_y,Notes_y
052022_BEL_CBC_T1_55_PSTR,PSTR,2022,Healthy,127,6_8_2023,9.4,10_6_2023,2.58,UML_NARWHAL_R2_B1,10_10_23,39.2,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T1_158_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_100_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T4_8_PSTR,PSTR,2022,Healthy,95.5,7_12_2024,4.63,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T1_122_PSTR,PSTR,2022,Healthy,199.4,7_12_2024,9.58,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T2_120_PSTR,PSTR,2022,Healthy,176.1,7_12_2024,14.7,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
052022_BEL_CBC_T3_15_PSTR,PSTR,2022,Healthy,88,6_8_2023,13.3,10_6_2023,3.16,UML_NARWHAL_R2_B1,10_10_23,39.6,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,Only sand left in tissue sample
052022_BEL_CBC_T3_23_PSTR,PSTR,2022,Healthy,148,6_8_2023,20.6,10_6_2023,4.82,UML_NARWHAL_R2_B1,10_10_23,38.5,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T2_82_PSTR,PSTR,2022,Healthy,365,7_12_2024,17.7,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
052022_BEL_CBC_T3_3_PSTR,PSTR,2022,Healthy,121,6_8_2023,7,10_6_2023,1.66,UML_NARWHAL_R2_B1,10_10_23,41.8,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T2_83_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_85_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
052022_BEL_CBC_T3_65_OFAV,OFAV,2022,Healthy,167,6_21_2023,26.8,10_11_23,5.76,UML_NARWHAL_R2_B1,10_12_23,0.644,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T3_66_OFAV,OFAV,2022,Healthy,155,6_21_2023,17.8,10_11_23,too low,UML_NARWHAL_R2_B1,10_12_23,0.568,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T2_86_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
102019_BEL_CBC_T1_25_PSTR,PSTR,2019,Healthy,151,5_25_2023,23.2,10_17_2023,8.2,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,host cleaning needs to be redone,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T1_26_PSTR,PSTR,2019,Healthy,107,5_25_2023,23.1,10_17_2023,8,UML_NARWHAL_R2_B1,y,0.692,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T1_27_PSTR,PSTR,2019,Healthy,198,5_30_2023,19.1,10_17_2023,6.7,UML_NARWHAL_R2_B1,y,0.27,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T1_28_PSTR,PSTR,2019,Healthy,120,5_30_2023,7.2,10_17_2023,2.9,UML_NARWHAL_R2_B1,y,0.32,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T1_30_PSTR,PSTR,2019,Healthy,128,6_1_2023,8.6,9_27_2023,2.2,UML_NARWHAL_R2_B1,9_29_23,1,UML_F1_R2_B2,9_29_23,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T1_31_PSTR,PSTR,2019,Healthy,128,6_1_2023,13.2,9_27_2023,4,UML_NARWHAL_R2_B1,9_29_23,0.4,UML_F1_R2_B2,9_29_23,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T2_30_PSTR,PSTR,2019,Healthy,129,6_1_2023,32.6,9_27_2023,9.5,UML_NARWHAL_R2_B1,9_29_23,2.2,UML_F1_R2_B2,9_29_23,,sequenced,,10_19_23,10_19_23,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T2_31_PSTR,PSTR,2019,Healthy,152,6_1_2023,26.3,9_27_2023,8.5,UML_NARWHAL_R2_B1,9_29_23,1.5,UML_F1_R2_B2,9_29_23,,sequenced,,10_19_23,10_19_23,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T2_32_PSTR,PSTR,2019,Healthy,122,6_6_2023,9.8,9_28_2023,2.6,UML_NARWHAL_R2_B1,9_28_2023,1.3,UML_F1_R2_B2,9_29_2023,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T2_33_PSTR,PSTR,2019,Healthy,125,6_6_2023,19,9_28_2023,6.1,UML_NARWHAL_R2_B1,9_28_2023,2.4,UML_F1_R2_B2,9_29_2023,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T2_34_PSTR,PSTR,2019,Healthy,138,6_6_2023,7.1,9_28_2023,2.4,UML_NARWHAL_R2_B1,9_28_2023,1.7,UML_F1_R2_B2,9_29_2023,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T2_36_PSTR,PSTR,2019,Healthy,123,6_6_2023,26.7,9_28_2023,3.5,UML_NARWHAL_R2_B1,9_28_2023,1.8,UML_F1_R2_B2,9_29_2023,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_34_PSTR,PSTR,2019,Healthy,128,6_6_2023,7.5,10_4_2023,3.2,UML_NARWHAL_R2_B1,10_4_2023,,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_35_PSTR,PSTR,2019,Healthy,255,6_6_2023,30.3,10_4_2023,12.9,UML_NARWHAL_R2_B1,10_4_2023,,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_36_PSTR,PSTR,2019,Healthy,125,6_6_2023,14.8,10_4_2023,5,UML_NARWHAL_R2_B1,10_4_2023,,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_37_PSTR,PSTR,2019,Healthy,169,6_7_2023,52.6,10_4_2023,8.9,UML_NARWHAL_R2_B1,10_4_2023,,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_38_PSTR,PSTR,2019,Healthy,156,6_7_2023,14.2,10_4_2023,3.8,UML_NARWHAL_R2_B1,10_4_2023,,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_39_PSTR,PSTR,2019,Healthy,152,6_7_2023,24.2,10_6_2023,5.48,UML_NARWHAL_R2_B1,10_10_23,43.4,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
102019_BEL_CBC_T3_40_PSTR,PSTR,2019,Healthy,153,6_7_2023,20.4,10_6_2023,5.3,UML_NARWHAL_R2_B1,10_10_23,,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T2_88_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_89_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_92_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_94_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_95_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T2_99_PSTR,PSTR,2022,Healthy,243.2,7_12_2024,34.2,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
052022_BEL_CBC_T1_34_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T1_39_MCAV,MCAV,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T1_53_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T1_54_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T1_60_MCAV,MCAV,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T1_61_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T1_62_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T3_10_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,Depleted_UML_NARWHAL_R1_B3,,Only sand left in tissue sample
052022_BEL_CBC_T3_11_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T3_25_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,DNA_extracted,
052022_BEL_CBC_T3_54_PAST,PAST,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
052022_BEL_CBC_T3_55_PAST,PAST,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,,
062019_BEL_CBC_T1_3_MCAV,MCAV,2019,Healthy,,extracted,,,,,,,,,,sequenced,,sequenced,,extracted dna - orange box ,n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T2_5_MCAV,MCAV,2019,Healthy,,extracted,,,,,,,,,,sequenced,,sequenced,,extracted dna - orange box ,n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_21_MMEA,MMEA,2019,Healthy,,extracted,,,,,,,,,,sequenced,,sequenced,,extracted dna - orange box ,n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_4_PAST,PAST,2019,Healthy,,extracted,,,,,,,,,,sequenced,,sequenced,,extracted dna - orange box ,n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_6_MCAV,MCAV,2019,Healthy,,extracted,,,,,,,,,,sequenced,,sequenced,,extracted dna - orange box ,n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_16_MCAV,MCAV,2019,Healthy,,7_10_2020,,,,,,,,,,sequenced,,sequenced,,extracted dna - pink box,n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T1_12_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T1_17_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T1_18_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T1_21_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T1_22_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T1_4_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T1_6_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T1_9_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T2_2_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T2_20_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T2_22_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T2_18_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T2_25_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T2_23_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T2_29_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T2_28_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,Depleted_UML_NARWHAL_R1_B1,DNA_extracted,Only sand left in tissue sample
122022_BEL_CBC_T2_101_OFAV,OFAV,2022,Diseased_Margin,119,6_28_2023,13.3,10_17_2023,5.5,UML_NARWHAL_R2_B1,y,0.36,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T2_118_OANN,OANN,2022,Diseased_Margin,126,6_28_2023,16,10_17_2023,6.1,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T2_91_OANN,OANN,2022,Healthy,183,6_27_2023,41.8,10_16_2023,18.9,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T2_93_OFAV,OFAV,2022,Healthy,160,6_27_2023,46.1,10_11_23,8.46,UML_NARWHAL_R2_B1,10_12_23,0.782,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T2_97_OFAV,OFAV,2022,Healthy,180,6_27_2023,29.5,10_11_23,5.96,UML_NARWHAL_R2_B1,10_12_23,0.33,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T3_161_OANN,OANN,2022,Healthy,146,6_22_2023,19.3,10_16_2023,11.8,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,Only sand in tissue sample ,Depleted_UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,Only sand in tissue sample 
122022_BEL_CBC_T4_10_OFAV,OFAV,2022,Diseased_Tissue,159,6_28_2023,6.4,10_17_2023,3.8,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,Only sand in tissue sample ,Depleted_UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,Only sand in tissue sample 
122022_BEL_CBC_T4_2_OFAV,OFAV,2022,Healthy,128,6_27_2023,21,10_11_23,4,UML_NARWHAL_R2_B1,10_12_23,too low,UML_F1_R2_B2,n,,sequenced,host concentration reading: out of range - too low,10_19_23,,,y,extract,Only sand in tissue sample ,Depleted_UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,Only sand in tissue sample 
122022_BEL_CBC_T4_9_OFAV,OFAV,2022,Diseased_Margin,41,6_28_2023,9,10_17_2023,4.1,UML_NARWHAL_R2_B1,y,0.18,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,
062019_BEL_CBC_T2_8_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T3_10_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T2_9_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T3_12_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,n,extract,theres like 4 tubes of this ,UML_NARWHAL_R1_B1,DNA_extracted,
102019_BEL_CBC_T1_29_PSTR,PSTR,2019,Healthy,106,5_30_2023,3.2,10_17_2023,1.1,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted__UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T1_120_OANN,OANN,2022,Diseased_Margin,74,6_28_2023,15.2,10_17_2023,4.7,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T1_136_OANN,OANN,2022,Diseased_Tissue,76,6_28_2023,12.1,10_17_2023,5,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T1_157_OANN,OANN,2022,Healthy,163,6_27_2023,9.8,10_17_2023,2.3,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,host cleaning needs to be redone,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T2_107_OANN,OANN,2022,Diseased_Tissue,104,6_28_2023,30,10_17_2023,11.2,UML_NARWHAL_R2_B1,y,0.674,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,Only sand left in tissue sample,Depleted_UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,Only sand left in tissue sample
062019_BEL_CBC_T3_23_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,UML_NARWHAL_R2_B3,
062019_BEL_CBC_T3_24_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T3_26_PAST,PAST,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
062019_BEL_CBC_T3_11_MCAV,MCAV,2019,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B1,,
052022_BEL_CBC_T1_1_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B3,DNA_extracted,
122022_BEL_CBC_T4_1_OFAV,OFAV,2022,Healthy,183.5,7_16_2024,44.7,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
